,INSEE_COM,NOM_COMMUNE,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
0,22028,Camlez,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,159050.0,0.0,820.0,0,0,0,0,0,820,0,0
1,22044,Coëtmieux,3,0.0,33.0,67.0,67.0,67.0,67.0,33.0,2,0,19346.0,182.0,17.0,0,0,0,0,0,0,0,17
2,22049,Créhen,2,0.0,0.0,0.0,50.0,100.0,100.0,0.0,0,0,16386.0,0.0,2124.0,0,487,0,0,1637,0,0,0
3,22054,Erquy,71,0.0,15.0,42.0,55.0,73.0,82.0,18.0,88,9,173739.0,10086.0,1802.0,150,0,0,0,0,1652,0,0
4,22055,Binic-Étables-sur-Mer,42,0.0,10.0,60.0,81.0,86.0,88.0,12.0,57,1,96927.0,6854.0,682.0,0,0,103,0,0,536,0,0
5,22081,Hillion,68,0.0,24.0,69.0,88.0,97.0,99.0,1.0,75,0,110643.0,7826.0,1004.0,0,0,0,0,0,1004,0,0
6,22086,Kerfot,3,0.0,67.0,100.0,100.0,100.0,100.0,0.0,3,1,8230.0,345.0,0.0,0,0,0,0,0,0,0,0
7,22090,Kermaria-Sulard,4,0.0,50.0,75.0,75.0,75.0,75.0,25.0,2,0,112237.0,341.0,897.0,0,0,0,0,0,790,0,107
8,22093,Lamballe-Armor,44,0.0,16.0,50.0,75.0,82.0,84.0,16.0,59,1,106393.0,5547.0,827.0,0,0,0,0,60,767,0,0
9,22094,Lancieux,30,0.0,43.0,47.0,63.0,97.0,97.0,3.0,34,2,34700.0,3730.0,284.0,0,0,0,0,0,284,0,0
10,22106,Langueux,61,0.0,15.0,56.0,98.0,100.0,100.0,0.0,82,1,102918.0,8665.0,1678.0,0,431,18,0,1202,0,18,9
11,22109,Lanloup,2,0.0,0.0,0.0,0.0,100.0,100.0,0.0,2,0,1141.0,255.0,0.0,0,0,0,0,0,0,0,0
12,22111,Lanmodez,5,0.0,0.0,20.0,20.0,40.0,40.0,60.0,5,2,5340.0,583.0,0.0,0,0,0,0,0,0,0,0
13,22113,Lannion,54,0.0,56.0,69.0,83.0,94.0,96.0,4.0,142,2,233584.0,14857.0,9534.0,0,4206,712,0,0,1414,1948,0
14,22117,Lantic,28,0.0,36.0,50.0,79.0,82.0,86.0,14.0,25,1,123113.0,3007.0,5300.0,392,47,0,0,0,4844,0,17
15,22118,Lanvallay,1,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0,0,22701.0,0.0,768.0,0,0,0,768,0,0,0,0
16,22127,Lézardrieux,2,0.0,50.0,50.0,100.0,100.0,100.0,0.0,2,0,1571.0,234.0,0.0,0,0,0,0,0,0,0,0
17,22134,Louannec,16,0.0,25.0,69.0,94.0,94.0,94.0,6.0,36,1,75305.0,3196.0,101.0,0,0,0,0,0,0,101,0
18,22143,Matignon,41,0.0,0.0,20.0,59.0,78.0,83.0,17.0,53,9,51466.0,4821.0,651.0,0,79,0,0,0,0,572,0
19,22162,Paimpol,16,0.0,38.0,81.0,100.0,100.0,100.0,0.0,8,0,90134.0,1084.0,8690.0,0,0,232,1388,0,945,2049,4076
20,22166,Penvénan,6,0.0,33.0,83.0,83.0,100.0,100.0,0.0,4,2,65299.0,483.0,374.0,0,137,0,0,0,0,0,237
21,22168,Perros-Guirec,142,0.0,17.0,51.0,58.0,79.0,80.0,20.0,316,25,245381.0,28021.0,2326.0,0,1147,0,0,16,0,1109,54
22,22174,Pléboulle,4,0.0,0.0,0.0,75.0,75.0,75.0,25.0,4,1,7666.0,430.0,0.0,0,0,0,0,0,0,0,0
23,22176,Plédran,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,1,0,783.0,140.0,0.0,0,0,0,0,0,0,0,0
24,22178,Pléhédel,2,0.0,50.0,50.0,50.0,100.0,100.0,0.0,2,0,4843.0,234.0,0.0,0,0,0,0,0,0,0,0
25,22179,Fréhel,52,0.0,0.0,0.0,37.0,69.0,77.0,23.0,47,19,87251.0,4697.0,1132.0,0,0,307,0,523,0,0,302
26,22186,Pléneuf-Val-André,40,0.0,32.0,45.0,68.0,88.0,90.0,10.0,68,2,55555.0,7227.0,110.0,0,110,0,0,0,0,0,0
27,22187,Plérin,18,0.0,61.0,89.0,89.0,89.0,94.0,6.0,32,0,34503.0,3724.0,6268.0,0,714,852,2265,0,0,2437,0
28,22190,Pleslin-Trigavou,13,0.0,8.0,15.0,31.0,92.0,100.0,0.0,11,0,35238.0,1225.0,580.0,0,0,0,0,513,67,0,0
29,22194,Plestin-les-Grèves,37,0.0,19.0,49.0,59.0,81.0,81.0,19.0,42,1,168048.0,3915.0,753.0,0,0,0,0,0,753,0,0
30,22195,Pleubian,26,0.0,42.0,54.0,81.0,92.0,96.0,4.0,26,3,24513.0,2599.0,0.0,0,0,0,0,0,0,0,0
31,22196,Pleudaniel,9,0.0,44.0,78.0,89.0,89.0,100.0,0.0,1,0,81051.0,102.0,14199.0,0,846,0,1482,0,10896,953,22
32,22197,Pleudihen-sur-Rance,7,0.0,0.0,57.0,71.0,100.0,100.0,0.0,3,0,47576.0,361.0,2553.0,0,521,0,0,550,0,1217,265
33,22198,Pleumeur-Bodou,9,0.0,33.0,78.0,78.0,78.0,78.0,22.0,5,0,118980.0,468.0,1087.0,0,0,0,0,0,852,0,235
34,22199,Pleumeur-Gautier,7,0.0,71.0,86.0,86.0,86.0,100.0,0.0,1,0,149528.0,105.0,4578.0,0,0,0,0,0,4546,0,32
35,22209,Beaussais-sur-Mer,27,0.0,4.0,19.0,67.0,96.0,96.0,4.0,24,2,48513.0,2731.0,629.0,0,174,0,153,0,302,0,0
36,22210,Ploubazlanec,19,0.0,37.0,42.0,58.0,84.0,89.0,11.0,24,1,0.0,2402.0,0.0,0,0,0,0,0,0,0,0
37,22211,Ploubezre,7,0.0,0.0,71.0,86.0,86.0,86.0,14.0,28,0,28433.0,2446.0,1600.0,0,0,0,0,0,1600,0,0
38,22213,Plouër-sur-Rance,43,0.0,0.0,12.0,42.0,93.0,95.0,5.0,50,0,68219.0,5162.0,595.0,0,0,0,0,0,595,0,0
39,22214,Plouézec,35,0.0,37.0,60.0,74.0,89.0,89.0,11.0,43,0,92216.0,4721.0,1260.0,0,0,0,0,0,1260,0,0
40,22215,Ploufragan,1,0.0,0.0,100.0,100.0,100.0,100.0,0.0,1,0,369.0,88.0,0.0,0,0,0,0,0,0,0,0
41,22218,Plougrescant,5,0.0,60.0,100.0,100.0,100.0,100.0,0.0,2,1,24410.0,215.0,681.0,0,0,0,360,0,31,0,290
42,22221,Plouguiel,5,0.0,0.0,40.0,60.0,60.0,60.0,40.0,5,0,3822.0,562.0,0.0,0,0,0,0,0,0,0,0
43,22222,Plouha,64,0.0,19.0,22.0,64.0,70.0,73.0,27.0,78,10,240080.0,8459.0,49.0,0,0,0,0,0,40,0,9
44,22224,Ploulec'h,4,0.0,0.0,50.0,100.0,100.0,100.0,0.0,35,0,28630.0,7048.0,348.0,0,49,0,0,0,0,299,0
45,22226,Ploumilliau,6,0.0,17.0,67.0,100.0,100.0,100.0,0.0,1,0,8886.0,126.0,1903.0,0,314,0,1208,0,0,381,0
46,22232,Plourhan,52,0.0,29.0,65.0,88.0,92.0,92.0,8.0,58,0,113126.0,6485.0,1073.0,0,0,0,528,17,528,0,0
47,22235,Plouzélambre,2,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1,1,17981.0,110.0,40.0,40,0,0,0,0,0,0,0
48,22242,Plurien,27,0.0,19.0,41.0,59.0,85.0,89.0,11.0,33,4,46938.0,3438.0,774.0,0,0,0,636,0,0,0,138
49,22246,Pommeret,6,0.0,0.0,33.0,100.0,100.0,100.0,0.0,9,0,589.0,912.0,0.0,0,0,0,0,0,0,0,0
50,22251,Pordic,17,0.0,47.0,76.0,88.0,94.0,100.0,0.0,36,0,48326.0,3258.0,4945.0,0,1573,1571,922,0,0,872,7
51,22265,Rospez,1,0.0,0.0,0.0,0.0,100.0,100.0,0.0,1,0,2449.0,81.0,0.0,0,0,0,0,0,0,0,0
52,22268,Ruca,9,0.0,11.0,22.0,89.0,100.0,100.0,0.0,8,0,43854.0,813.0,103.0,0,0,0,0,0,103,0,0
53,22273,Saint-Alban,38,0.0,34.0,66.0,82.0,92.0,95.0,5.0,32,0,29723.0,3565.0,3410.0,0,380,1581,844,0,0,588,17
54,22278,Saint-Brieuc,3,0.0,0.0,67.0,67.0,100.0,100.0,0.0,2,0,19371.0,234.0,302.0,0,0,0,0,0,302,0,0
55,22282,Saint-Cast-le-Guildo,53,0.0,0.0,0.0,30.0,81.0,87.0,13.0,54,24,87206.0,6231.0,733.0,0,0,0,0,0,0,733,0
56,22299,Saint-Hélen,3,0.0,0.0,33.0,33.0,100.0,100.0,0.0,2,0,21534.0,172.0,229.0,0,0,0,0,0,229,0,0
57,22302,Saint-Jacut-de-la-Mer,1,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0,0,4853.0,0.0,7.0,0,0,0,0,0,0,0,7
58,22311,Saint-Lormel,1,0.0,0.0,0.0,100.0,100.0,100.0,0.0,1,0,400.0,73.0,0.0,0,0,0,0,0,0,0,0
59,22319,Saint-Michel-en-Grève,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,28981.0,0.0,163.0,0,0,0,0,0,163,0,0
60,22323,Saint-Pôtan,1,0.0,0.0,0.0,100.0,100.0,100.0,0.0,1,0,98150.0,146.0,0.0,0,0,0,0,0,0,0,0
61,22324,Saint-Quay-Perros,53,0.0,4.0,72.0,89.0,92.0,94.0,6.0,68,1,175588.0,6323.0,48.0,0,0,0,48,0,0,0,0
62,22325,Saint-Quay-Portrieux,9,0.0,11.0,22.0,67.0,67.0,67.0,33.0,6,0,153879.0,771.0,485.0,0,0,0,476,0,0,9,0
63,22339,Taden,26,0.0,0.0,38.0,65.0,88.0,92.0,8.0,23,0,250316.0,2034.0,14571.0,0,3305,3331,291,3297,286,3466,595
64,22343,Trébeurden,13,0.0,23.0,62.0,69.0,69.0,69.0,31.0,32,2,49953.0,2471.0,950.0,0,0,0,0,0,640,0,310
65,22347,Trédarzec,2,0.0,50.0,50.0,50.0,50.0,50.0,50.0,0,0,11779.0,0.0,243.0,0,0,0,0,0,0,243,0
66,22349,Trédrez-Locquémeau,10,0.0,20.0,50.0,70.0,90.0,90.0,10.0,15,2,21161.0,1661.0,0.0,0,0,0,0,0,0,0,0
67,22350,Tréduder,1,0.0,0.0,0.0,100.0,100.0,100.0,0.0,1,0,1334.0,85.0,0.0,0,0,0,0,0,0,0,0
68,22353,Trégastel,7,0.0,14.0,43.0,43.0,71.0,71.0,29.0,6,3,15593.0,802.0,386.0,0,0,0,0,0,386,0,0
69,22360,Trégueux,14,0.0,29.0,86.0,93.0,93.0,93.0,7.0,36,0,33618.0,2868.0,6668.0,0,423,0,4406,0,0,1839,0
70,22363,Trélévern,8,0.0,38.0,75.0,100.0,100.0,100.0,0.0,8,0,14034.0,803.0,205.0,0,0,0,0,0,205,0,0
71,22368,Tréméreuc,1,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0,0,1856.0,0.0,850.0,0,0,0,850,0,0,0,0
